#ZhuYin	RCD-I-1	FIANL-1
ㄅㄚ	b_a	a
ㄅㄛ	b_u	uo
ㄅㄞ	b_a	ai
ㄅㄟ	b_ee	ei
ㄅㄠ	b_a	au
ㄅㄢ	b_a	an
ㄅㄣ	b_e	en
ㄅㄤ	b_a	ang
ㄅㄥ	b_e	eng
ㄅㄧ	b_i	i
ㄅㄧㄝ	b_i	ie
ㄅㄧㄠ	b_i	iau
ㄅㄧㄢ	b_i	ian
ㄅㄧㄣ	b_i	in
ㄅㄧㄥ	b_i	ing
ㄅㄛ	b_o	o
ㄅㄨ	b_u	u
ㄆㄚ	p_a	a
ㄆㄛ	p_u	uo
ㄆㄞ	p_a	ai
ㄆㄟ	p_ee	ei
ㄆㄠ	p_a	au
ㄆㄡ	p_o	ou
ㄆㄢ	p_a	an
ㄆㄣ	p_e	en
ㄆㄤ	p_a	ang
ㄆㄥ	p_e	eng
ㄆㄧ	p_i	i
ㄆㄧㄝ	p_i	ie
ㄆㄧㄠ	p_i	iau
ㄆㄧㄢ	p_i	ian
ㄆㄧㄣ	p_i	in
ㄆㄧㄥ	p_i	ing
ㄆㄨ	p_u	u
ㄇㄚ	m_a	a
ㄇㄛ	m_u	uo
ㄇㄞ	m_a	ai
ㄇㄟ	m_ee	ei
ㄇㄠ	m_a	au
ㄇㄛ	m_o	o
ㄇㄡ	m_o	ou
ㄇㄢ	m_a	an
ㄇㄣ	m_e	en
ㄇㄤ	m_a	ang
ㄇㄥ	m_e	eng
ㄇㄧ	m_i	i
ㄇㄧㄝ	m_i	ie
ㄇㄧㄠ	m_i	iau
ㄇㄧㄡ	m_i	iou
ㄇㄧㄢ	m_i	ian
ㄇㄧㄣ	m_i	in
ㄇㄧㄥ	m_i	ing
ㄇㄨ	m_u	u
ㄈㄚ	f_a	a
ㄈㄛ	f_u	uo
ㄈㄟ	f_ee	ei
ㄈㄡ	f_o	ou
ㄈㄢ	f_a	an
ㄈㄣ	f_e	en
ㄈㄤ	f_a	ang
ㄈㄥ	f_e	eng
ㄈㄨ	f_u	u
ㄉㄚ	d_a	a
ㄉㄜ	d_e	e
ㄉㄞ	d_a	ai
ㄉㄟ	d_ee	ei
ㄉㄠ	d_a	au
ㄉㄡ	d_o	ou
ㄉㄢ	d_a	an
ㄉㄤ	d_a	ang
ㄉㄥ	d_e	eng
ㄉㄧ	d_i	i
ㄉㄧㄝ	d_i	ie
ㄉㄧㄠ	d_i	iau
ㄉㄧㄡ	d_i	iou
ㄉㄧㄢ	d_i	ian
ㄉㄧㄥ	d_i	ing
ㄉㄨ	d_u	u
ㄉㄨㄛ	d_u	uo
ㄉㄨㄟ	d_u	uei
ㄉㄨㄢ	d_u	uan
ㄉㄨㄣ	d_u	uen
ㄉㄨㄥ	d_u	ueng
ㄊㄚ	t_a	a
ㄊㄜ	t_e	e
ㄊㄞ	t_a	ai
ㄊㄠ	t_a	au
ㄊㄡ	t_o	ou
ㄊㄢ	t_a	an
ㄊㄤ	t_a	ang
ㄊㄥ	t_e	eng
